BBR,Condition_CHS,Condition_CHT,Condition_EN,Department_Ref__No_,District_CHS,District_CHT,District_EN,Last_Inspection_Date,Location_CHS,Location_CHT,Location_EN,MitigationMeasure_CHS,MitigationMeasure_CHT,MitigationMeasure_EN,OVTNo,Responsible_Department_CHS,Responsible_Department_CHT,Responsible_Department_EN,Species_CHS,Species_CHT,Species_EN,TR_no_,Type,XCoordinate,YCoordinate,GeometryLongitude,GeometryLatitude
N,土壤情况正常 / 滴水线范围内有限制(25 - 50%) / 天然山坡 / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (反应生长) / 受风情况 (暴露) / 修剪历史 (清理树冠) / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,土壤情況正常 / 滴水線範圍內有限制(25 - 50%) / 天然山坡 / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (反應生長) / 受風情況 (暴露) / 修剪歷史 (清理樹冠) / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Response growth) / Natural terrain / No site changes / Normal Soil / Other General condition observations / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Cleaned) / Restriction within dripline (25 - 50%) / Tree failure record / Tree vigor (Normal) / Wind exposure (Exposed) / ,AFCD/KS/005,"""Islands""","""Islands""","""Islands""",2023-11-03,"""Sha Lo Wan Tsuen, Lantau (The slope next to the school)""","""Sha Lo Wan Tsuen, Lantau (The slope next to the school)""","""Sha Lo Wan Tsuen, Lantau (The slope next to the school)""",其他缓减措施 / ,其他緩減措施 / ,Others / ,AFCD/KS/005,"""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""",樟,樟,Cinnamomum camphora,AFCD/IS/00001,OVT,808051,816127,113.90307100000007,22.283796000000052
N,平地 / 土壤情况正常 / 滴水线范围内有限制(少於 25%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 受风情况 (暴露) / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,平地 / 土壤情況正常 / 滴水線範圍內有限制(少於 25%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 受風情況 (暴露) / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Flat / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Less than 25%) / Tree failure record / Tree vigor (Normal) / Wind exposure (Exposed) / ,AFCD/LK/004,"""North""","""North""","""North""",2023-11-16,"""LAI CHI WO""","""LAI CHI WO""","""LAI CHI WO""",其他缓减措施 / ,其他緩減措施 / ,Others / ,AFCD/LK/004,"""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""",秋枫,秋楓,Bischofia javanica,AFCD/N/00001,OVT,844692,843051,114.25875900000005,22.527143000000024
N,土壤情况正常 / 滴水线范围内有限制(少於 25%) / 天然山坡 / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (反应生长) / 受风情况 (部份) / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,土壤情況正常 / 滴水線範圍內有限制(少於 25%) / 天然山坡 / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (反應生長) / 受風情況 (部份) / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Response growth) / Natural terrain / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Less than 25%) / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,AFCD/LK/009,"""North""","""North""","""North""",2023-11-16,"""LAI CHI WO""","""LAI CHI WO""","""LAI CHI WO""",清理树冠 / 其他缓减措施 / ,清理樹冠 / 其他緩減措施 / ,Crown cleaning / Others / ,AFCD/LK/009,"""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""",樟,樟,Cinnamomum camphora,AFCD/N/00002,OVT,844630,842966,114.2581560000001,22.526376000000027
N,土壤情况正常 / 滴水线范围内有限制(25 - 50%) / 天然山坡 / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 受风情况 (部份) / 钢索或支架 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,土壤情況正常 / 滴水線範圍內有限制(25 - 50%) / 天然山坡 / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 受風情況 (部份) / 鋼索或支架 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Cable or brace / Natural terrain / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (25 - 50%) / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,AFCD/LK/010,"""North""","""North""","""North""",2023-11-16,"""Lai Chi Wo Special Area Information Board (HT/PC/IN/014)""","""Lai Chi Wo Special Area Information Board (HT/PC/IN/014)""","""Lai Chi Wo Special Area Information Board (HT/PC/IN/014)""",其他缓减措施 / ,其他緩減措施 / ,Others / ,AFCD/LK/010,"""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""","""Agriculture, Fisheries and Conservation Department""",秋枫,秋楓,Bischofia javanica,AFCD/N/00003,OVT,844700,843073,114.25883700000009,22.527342000000033
N,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂 (轻微) / 树枝/树干裂开(中等) / 呈现真菌子实体(少量) / 有枯枝 / 有明显破损 / ,嫩枝枯死 (少於 5%) / 呈現樹洞(中等) / 呈現腐爛 (輕微) / 樹枝/樹幹裂開(中等) / 呈現真菌子實體(少量) / 有枯枝 / 有明顯破損 / ,Cavity (moderate) / Crack (moderate) / Dead branches / Decay (minor) / Dieback twigs (Less than 5%) / Fungal fruiting bodies (small amount) / Obvious wound(s) / ,LANDSD N/2,"""North""","""North""","""North""",2023-09-28,"""Lai Chi Wo, Sha Tau Kok""","""Lai Chi Wo, Sha Tau Kok""","""Lai Chi Wo, Sha Tau Kok""",适当修剪树木枝条 / 安装缆索或支撑物 / 限制使用有树木倒塌风险范围 / 持续监察 / ,適當修剪樹木枝條 / 安裝纜索或支撐物 / 限制使用有樹木倒塌風險範圍 / 持續監察 / ,Appropriate Pruning / Cabling / Other Support / Continuous Monitoring / Restrict Use Within Fall Zone / ,LANDSD N/2,"""Lands Department""","""Lands Department""","""Lands Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,LANDSD/N/00004,OVT,844899,843035,114.26077100000009,22.52699800000005
N,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 树冠不对称 / 健康状况(一般) / ,嫩枝枯死 (少於 5%) / 呈現樹洞(輕微) / 樹冠不對稱 / 健康狀況(一般) / ,Asymmetric tree canopy / Cavity (minor) / Dieback twigs (Less than 5%) / Health condition (fair) / ,LANDSD N/1,"""North""","""North""","""North""",2023-10-11,"""Po Sheung Tsuen, Sheung Shui (near Tai Po District Junior Police Call Club)""","""Po Sheung Tsuen, Sheung Shui (near Tai Po District Junior Police Call Club)""","""Po Sheung Tsuen, Sheung Shui (near Tai Po District Junior Police Call Club)""",适当修剪树木枝条 / 持续监察 / ,適當修剪樹木枝條 / 持續監察 / ,Appropriate Pruning / Continuous Monitoring / ,LANDSD N/1,"""Lands Department""","""Lands Department""","""Lands Department""",樟,樟,Cinnamomum camphora,LANDSD/N/00005,OVT,830954,840931,114.12522700000011,22.508012000000065
N,嫩枝枯死 (少於 5%) / 健康状况(好) / ,嫩枝枯死 (少於 5%) / 健康狀況(好) / ,Dieback twigs (Less than 5%) / Health condition (good) / ,LANDSD ST/2,"""Sha Tin""","""Sha Tin""","""Sha Tin""",2023-10-11,"""Wu Kai Sha Village Fung Shui Woodland, Ma On Shan""","""Wu Kai Sha Village Fung Shui Woodland, Ma On Shan""","""Wu Kai Sha Village Fung Shui Woodland, Ma On Shan""",持续监察 / ,持續監察 / ,Continuous Monitoring / ,LANDSD ST/2,"""Lands Department""","""Lands Department""","""Lands Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,LANDSD/ST/00002,OVT,842835,832170,114.24066300000004,22.428892000000076
N,嫩枝枯死 (少於 5%) / 呈现树洞(严重) / 有明显破损 / ,嫩枝枯死 (少於 5%) / 呈現樹洞(嚴重) / 有明顯破損 / ,Cavity (severe) / Dieback twigs (Less than 5%) / Obvious wound(s) / ,LANDSD TP/1,"""Tai Po""","""Tai Po""","""Tai Po""",2023-10-10,"""She Shan Tsuen, Tai Po, She Shan Fung Shui Woodland SSSI""","""She Shan Tsuen, Tai Po, She Shan Fung Shui Woodland SSSI""","""She Shan Tsuen, Tai Po, She Shan Fung Shui Woodland SSSI""",持续监察 / ,持續監察 / ,Continuous Monitoring / ,LANDSD TP/1,"""Lands Department""","""Lands Department""","""Lands Department""",樟,樟,Cinnamomum camphora,LANDSD/TP/00001,OVT,833000,834524,114.145126,22.450159000000042
N,土壤被挤压 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 人造斜坡 / 受风情况 (部份) / 修剪历史 (清理树冠) / 其他总体情况观察 / 综合树木风险 (中) / 综合剩余风险(中) / 没有场地改变 / ,土壤被擠壓 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 人造斜坡 / 受風情況 (部份) / 修剪歷史 (清理樹冠) / 其他總體情況觀察 / 綜合樹木風險 (中) / 綜合剩餘風險(中) / 没有場地改變 / ,Compacted Soil / Man-made slope / No site changes / Other General condition observations / Other Site Condition observations / Overall residual risk(Moderate) / Overall tree risk rating (Moderate) / Pruning history (Cleaned) / Restriction within dripline (Over 75%) / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,LCSD YTM/106,"""Yau Tsim Mong""","""Yau Tsim Mong""","""Yau Tsim Mong""",2023-08-02,"""Roadside Planter at Flower Market Path""","""Roadside Planter at Flower Market Path""","""Roadside Planter at Flower Market Path""",清理树冠 / ,清理樹冠 / ,Crown cleaning / ,LCSD YTM/106,"""Leisure and Cultural Services Department""","""Leisure and Cultural Services Department""","""Leisure and Cultural Services Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,LCSD/YTM/00135,OVT,835667,820675,114.17104100000006,22.325098000000025
N,其他场地改变 / 土壤被挤压 / 有土壤裂缝或裂缝於倾斜部位背後 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (受遮挡) / 修剪历史 (清理树冠) / 挡土墙 / 修剪历史 (缩减树冠) / 其他总体情况观察 / 综合树木风险 (中) / 综合剩余风险(中) / 没有场地改变 / ,其他場地改變 / 土壤被擠壓 / 有土壤裂縫或裂縫於傾斜部位背後 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (受遮擋) / 修剪歷史 (清理樹冠) / 擋土牆 / 修剪歷史 (縮減樹冠) / 其他總體情況觀察 / 綜合樹木風險 (中) / 綜合剩餘風險(中) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other site changes / Other Site Condition observations / Overall residual risk(Moderate) / Overall tree risk rating (Moderate) / Pruning history (Cleaned) / Pruning history (Reduced) / Restriction within dripline (Over 75%) / Retaining wall / Soil crack or crack behind lean / Tree failure record / Tree vigor (Normal) / Wind exposure (Protected) / ,hyd_hk_11sw_b_r74_0_wt4,"""Central & Western""","""Central & Western""","""Central & Western""",2023-06-13,NULL,NULL,NULL,其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",大叶榕(黄葛树),大葉榕(黃葛樹),Ficus virens (syn. Ficus virens var. sublanceolata),HYD/CW/00004,SWT,833985.68,815638.491,114.15472800000009,22.279614000000038
