Species,District,Responsible Department,Location,Last Inspection Date,BRR,Tree_number,Department Ref. No.,OVTNo,XCoordinate,YCoordinate,Type,Condition,MitigationMeasure
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Cavity (minor),Pest
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Cavity (minor),Disease Control
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Cavity (minor),
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Health condition (fair),Pest
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Health condition (fair),Disease Control
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Health condition (fair),
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Sign of termites infestation,Pest
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Sign of termites infestation,Disease Control
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,Sign of termites infestation,
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,,Pest
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,,Disease Control
Cinnamomum camphora,Islands,"Agriculture, Fisheries and Conservation Department","The slope next to Sha Lo Wan School, Lantau Island",30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051.0,816127.0,OVT,,
Bischofia javanica,North,"Agriculture, Fisheries and Conservation Department","Lai Chi Wo, Sha Tau Kok",10/11/2020,N,AFCD/N/00001,AFCD/LK/004,AFCD/LK/004,844692.0,843051.0,OVT,Cavity (moderate),Continuous Monitoring
Bischofia javanica,North,"Agriculture, Fisheries and Conservation Department","Lai Chi Wo, Sha Tau Kok",10/11/2020,N,AFCD/N/00001,AFCD/LK/004,AFCD/LK/004,844692.0,843051.0,OVT,Cavity (moderate),
Bischofia javanica,North,"Agriculture, Fisheries and Conservation Department","Lai Chi Wo, Sha Tau Kok",10/11/2020,N,AFCD/N/00001,AFCD/LK/004,AFCD/LK/004,844692.0,843051.0,OVT,Decay (moderate),Continuous Monitoring
