Species,District,Responsible Department,Location,Last Inspection Date,BRR,TR no.,Department Ref. No.,OVTNo,XCoordinate,YCoordinate,Type,Condition,MitigationMeasure
樟,离岛区,渔农自然护理署,大屿山沙螺湾学校侧的一幅斜坡,30/12/2020,N,AFCD/IS/00001,AFCD/KS/005,AFCD/KS/005,808051,816127,OVT,呈现树洞(轻微) / 白蚁侵扰 / 健康状况(一般) / ,控制病虫害 / 
秋枫,北区,渔农自然护理署,沙头角荔枝窝,10/11/2020,N,AFCD/N/00001,AFCD/LK/004,AFCD/LK/004,844692,843051,OVT,呈现树洞(中等) / 呈现腐烂(中等) / 健康状况(一般) / ,持续监察 / 
樟,北区,渔农自然护理署,沙头角荔枝窝,10/11/2020,N,AFCD/N/00002,AFCD/LK/009,AFCD/LK/009,844630,842966,OVT,呈现树洞(轻微) / 呈现腐烂(中等) / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
秋枫,北区,渔农自然护理署,沙头角荔枝窝,10/11/2020,N,AFCD/N/00003,AFCD/LK/010,AFCD/LK/010,844700,843073,OVT,呈现树洞(严重) / 呈现腐烂(中等) / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),北区,地政总署,沙头角荔枝窝,31/8/2020,N,LANDSD/N/00004,LANDSD N/2,LANDSD N/2,844899,843035,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂 (轻微) / 树枝/树干裂开(中等) / 呈现真菌子实体(少量) / 有枯枝 / 有明显破损 / ,安装缆索或支撑物 / 限制使用有树木倒塌风险范围 / 持续监察 / 
樟,北区,地政总署,上水莆上村 (大埔区少年警讯会所侧),6/10/2020,N,LANDSD/N/00005,LANDSD N/1,LANDSD N/1,830954,840931,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),沙田区,地政总署,马鞍山 乌溪沙村风水林,6/10/2020,N,LANDSD/ST/00002,LANDSD ST/2,LANDSD ST/2,842835,832170,OVT,嫩枝枯死 (少於 5%) / 健康状况(好) / ,持续监察 / 
樟,大埔区,地政总署,"大埔社山村, 社山风水林具特殊科学价值地点",6/10/2020,N,LANDSD/TP/00001,AFCD_TPK_010,LANDSD TP/1,833000,834524,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(严重) / 有枯枝 / 有明显破损 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,花墟道,8/2/2021,N,LCSD/YTM/00135,LCSD YTM/106,LCSD YTM/106,835667.716,820675.209,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,亚毕诺道,15/6/2020,N,HYD/CW/00004,hyd_hk_11sw_b_r74_0_wt4,,833983,815652,SWT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,宝云道,19/5/2020,N,HYD/CW/00008,hyd_hk_11sw_b_fr124_0_wt1,,834368.6,815069.6,SWT,有明显破损 / 树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,宝云道,19/5/2020,N,HYD/CW/00009,hyd_hk_11sw_b_r520_0_wt1,,834856.5328,815145.719,SWT,有明显破损 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,必列者士街,15/6/2020,N,HYD/CW/00010,hyd_hk_11sw_a_r921_0_wt1,,833400.9674,816141.197,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,坚道,5/5/2020,N,HYD/CW/00011,hyd_hk_11sw_a_r116_7_wt1,,833593.8514,815934.7542,SWT,有明显破损 / ,适当修剪树木枝条 / 持续监察 / 
